Partikler;Average sim time (ns);
30;810430;0,81043
60;306790;0,30679
90;634970;0,63497
120;675560;0,67556
150;684910;0,68491
180;780390;0,78039
210;1395140;1,39514
240;1612050;1,61205
270;1506560;1,50656
300;1424200;1,4242
330;1105080;1,10508
360;550930;0,55093
390;1121210;1,12121
420;951230;0,95123
450;1509710;1,50971
480;1364760;1,36476
510;2719190;2,71919
540;2393160;2,39316
570;3956260;3,95626
600;1817700;1,8177
630;2479000;2,479
660;3894540;3,89454
690;5816290;5,81629
720;2735320;2,73532
750;3074800;3,0748
780;3443310;3,44331
810;7308769,5;7,3087695
840;9961240;9,96124
870;4143180;4,14318
900;4779070;4,77907
930;5234310;5,23431
960;5680240;5,68024
990;1,18E+07;11,78045
1020;9826890;9,82689
1050;6992409,5;6,9924095
1080;8112180;8,11218
1110;7899720;7,89972
1140;9971680;9,97168
1170;2,29E+07;22,9312
1200;9798170;9,79817
1230;1,12E+07;11,16414
1260;1,19E+07;11,91581
1290;1,19E+07;11,8976
1320;1,37E+07;13,66036
1350;1,31E+07;13,06258
1380;1,45E+07;14,46459
1410;1,76E+07;17,555
1440;1,59E+07;15,85213
1470;1,75E+07;17,46558
1500;1,75E+07;17,53905
1530;1,92E+07;19,20696
1560;2,06E+07;20,58068
1590;2,10E+07;20,98753
1620;2,30E+07;22,98466
1650;2,31E+07;23,07606
1680;2,69E+07;26,88998
1710;2,67E+07;26,72653
1740;2,75E+07;27,46538
1770;3,02E+07;30,242372
1800;3,11E+07;31,08982
1830;3,10E+07;31,02465
1860;3,34E+07;33,36183
1890;3,57E+07;35,65562
1920;3,52E+07;35,195688
1950;3,61E+07;36,098052
1980;3,84E+07;38,400712
2010;4,01E+07;40,115708
2040;4,35E+07;43,490888
2070;4,31E+07;43,08266
2100;4,74E+07;47,37122
2130;4,96E+07;49,609528
2160;4,93E+07;49,28494
2190;5,28E+07;52,803672
2220;5,49E+07;54,897088
2250;5,69E+07;56,895432
2280;5,80E+07;58,013812
2310;6,33E+07;63,34786
2340;6,42E+07;64,15776
2370;6,41E+07;64,088512
2400;7,08E+07;70,782296
2430;6,76E+07;67,64544
2460;7,03E+07;70,299664
2490;7,26E+07;72,637224
2520;7,77E+07;77,733296
2550;7,87E+07;78,68544
2580;8,23E+07;82,265528
2610;9,12E+07;91,224192
2640;9,15E+07;91,469048
2670;9,43E+07;94,329936
2700;9,55E+07;95,508016
2730;9,94E+07;99,402592
2760;1,02E+08;101,683664
2790;1,05E+08;105,353816
2820;1,08E+08;108,11332
2850;1,13E+08;112,671296
2880;1,14E+08;114,068992
2910;1,16E+08;115,878424
2940;1,26E+08;126,314584
2970;1,24E+08;124,177816
3000;1,33E+08;132,980032
