Iterations;Average sim time (ns);
1;1825088;1,825088
2;2063580;2,06358
3;2465480;2,46548
4;2914346;2,914346
5;3373336;3,373336
6;3865078;3,865078
7;4425838;4,425838
8;4793884;4,793884
9;5273358;5,273358
10;5741418;5,741418
11;6203166;6,203166
12;6709574;6,709574
13;7208664,5;7,2086645
14;7617322;7,617322
15;8095898;8,095898
16;8595258;8,595258
17;9055496;9,055496
18;9557654;9,557654
19;1,00E+07;10,018526
20;1,05E+07;10,506408
21;1,09E+07;10,936454
22;1,14E+07;11,436436
23;1,19E+07;11,905618
24;1,24E+07;12,384052
25;1,29E+07;12,863204
26;1,33E+07;13,347524
27;1,38E+07;13,791261
28;1,43E+07;14,305046
29;1,48E+07;14,787796
30;1,52E+07;15,229309
31;1,57E+07;15,705816
32;1,63E+07;16,254068
33;1,67E+07;16,670243
34;1,71E+07;17,141568
35;1,76E+07;17,598868
36;1,81E+07;18,120054
37;1,86E+07;18,593438
38;1,91E+07;19,064092
39;1,95E+07;19,521712
40;2,00E+07;19,988722
41;2,05E+07;20,521836
42;2,09E+07;20,928218
43;2,14E+07;21,388736
44;2,18E+07;21,835914
45;2,24E+07;22,364744
46;2,28E+07;22,76921
47;2,33E+07;23,26766
48;2,37E+07;23,74388
49;2,42E+07;24,223582
50;2,47E+07;24,742458
51;2,52E+07;25,225882
52;2,57E+07;25,720418
53;2,61E+07;26,12323
54;2,66E+07;26,608302
55;2,71E+07;27,08865
56;2,76E+07;27,590408
57;2,80E+07;27,982598
58;2,86E+07;28,579422
59;2,91E+07;29,060278
60;2,95E+07;29,519268
61;2,99E+07;29,918364
62;3,04E+07;30,392802
63;3,09E+07;30,898956
64;3,14E+07;31,43146
65;3,19E+07;31,864308
66;3,24E+07;32,42819
67;3,29E+07;32,857502
68;3,33E+07;33,329894
69;3,38E+07;33,789424
70;3,42E+07;34,218776
71;3,47E+07;34,710804
72;3,52E+07;35,215
73;3,57E+07;35,675972
74;3,61E+07;36,123776
75;3,66E+07;36,621608
76;3,71E+07;37,12018
77;3,76E+07;37,639192
78;3,81E+07;38,106016
79;3,86E+07;38,599912
80;3,91E+07;39,1432
81;3,96E+07;39,573424
82;4,00E+07;39,990184
83;4,05E+07;40,458676
84;4,09E+07;40,914628
85;4,14E+07;41,375748
86;4,19E+07;41,876972
87;4,23E+07;42,30116
88;4,29E+07;42,861548
89;4,40E+07;43,970928
90;4,39E+07;43,912984
91;4,42E+07;44,153612
92;4,47E+07;44,740332
93;4,52E+07;45,246732
94;4,57E+07;45,689532
95;4,62E+07;46,171868
96;4,67E+07;46,684128
97;4,72E+07;47,184712
98;4,76E+07;47,593436
99;4,82E+07;48,208736
100;4,86E+07;48,5752
