Resolution;Average sim time (ns)
10;8.433.333
20;38.001.668
30;99.763.336
40;179278.33
50;274160.0
60;386080.0
70;519055.0
80;676490.0
90;871253.3
100;1113553.4
110;1390086.6
120;1718940.0
130;2102460.0
140;2545358.5
150;3089005.0
160;3680733.2
170;4376838.5
180;5208058.0
190;6103557.0
200;7109425.0
210;8232997.0
220;9303712.0
230;1,05E+14
240;1,18E+14
250;1,29E+14
260;1,33E+14
270;1,42E+14
280;1,51E+14
290;1,60E+13
300;1,70E+14
310;1,81E+14
320;1,91E+14
330;2,01E+14
340;2,13E+14
350;1,90E+14
360;2,00E+14
370;2,11E+14
380;2,22E+14
390;2,33E+14
400;2,45E+14
410;2,58E+14
420;2,70E+14
430;2,83E+13
440;2,97E+14
450;3,09E+14
460;3,22E+13
470;3,37E+14
480;3,50E+13
490;3,63E+14
500;3,75E+14
510;3,86E+14
520;3,09E+14
530;3,22E+14
540;3,36E+13
550;3,49E+14
560;3,63E+14
570;3,77E+14
580;3,91E+14
590;4,05E+11
600;4,21E+13
610;4,36E+14
620;4,51E+14
630;4,68E+13
640;4,86E+14
650;5,01E+14
660;5,18E+14
670;5,37E+14
680;5,55E+14
690;5,72E+14
700;5,90E+14
710;6,08E+14
720;6,28E+13
730;6,45E+14
740;6,63E+14
750;6,81E+14
760;6,98E+14
770;7,15E+14
780;7,29E+14
790;7,44E+14
800;7,62E+14
810;7,76E+14
820;7,94E+14
830;8,10E+14
840;8,46E+13
850;8,54E+14
860;8,60E+14
870;8,93E+14
880;9,00E+14
890;9,14E+14
900;9,31E+14
910;9,48E+14
920;9,68E+14
930;9,89E+14
940;1,00E+14
950;1,03E+16
960;1,04E+16
970;1,06E+16
980;1,08E+16
990;1,12E+16
1000;1,12E+16
