Resolution;Average sim time (ns);
10;24600;0,0246
20;132300;0,1323
30;308700;0,3087
40;590100;0,5901
50;929500;0,9295
60;1364300;1,3643
70;1822100;1,8221
80;2381100;2,3811
90;3149000;3,149
100;4275800;4,2758
110;5717200;5,7172
120;6900800;6,9008
130;7861300;7,8613
140;9153800;9,1538
150;1,01E+07;10,065
160;1,16E+07;11,5792
170;1,33E+07;13,2949
180;1,40E+07;14,0015
190;1,60E+07;15,9744
200;1,82E+07;18,2323
210;1,83E+07;18,3
220;2,05E+07;20,538
230;2,30E+07;22,9801
240;2,51E+07;25,0843
250;2,68E+07;26,8229
260;2,68E+07;26,8125
270;2,99E+07;29,9347
280;3,23E+07;32,3369
290;3,44E+07;34,3789
300;3,62E+07;36,1843
310;3,81E+07;38,1427
320;4,03E+07;40,2551
330;4,27E+07;42,6787
340;4,47E+07;44,6976
350;4,57E+07;45,6758
360;4,90E+07;49,0191
370;5,19E+07;51,8615
380;5,46E+07;54,6019
390;5,71E+07;57,0966
400;5,97E+07;59,7379
410;6,25E+07;62,4508
420;6,59E+07;65,859
430;6,82E+07;68,1546
440;7,11E+07;71,13
450;7,41E+07;74,11
460;7,72E+07;77,1968
470;8,04E+07;80,4262
480;8,40E+07;83,962496
490;8,70E+07;87,042704
500;9,03E+07;90,250304
510;9,37E+07;93,6604
520;9,21E+07;92,0674
530;9,60E+07;96,024
540;1,00E+08;100,101296
550;1,04E+08;103,883104
560;1,08E+08;107,9208
570;1,12E+08;112,251696
580;1,16E+08;116,467
590;1,21E+08;121,181296
600;1,26E+08;126,074896
610;1,31E+08;130,834704
620;1,36E+08;135,649904
630;1,40E+08;140,287904
640;1,45E+08;144,607392
650;1,49E+08;148,913504
660;1,54E+08;154,023008
670;1,60E+08;159,783296
680;1,63E+08;162,781296
690;1,67E+08;167,376896
700;1,72E+08;171,672192
710;1,77E+08;176,748608
720;1,82E+08;181,989408
730;1,87E+08;186,567392
740;1,93E+08;192,822896
750;1,97E+08;196,861104
760;2,02E+08;202,027504
770;2,07E+08;207,113504
780;2,12E+08;212,280496
790;2,18E+08;218,392896
800;2,23E+08;223,412704
810;2,29E+08;228,979696
820;2,35E+08;234,516304
830;2,40E+08;240,380192
840;2,46E+08;246,3724
850;2,51E+08;251,083696
860;2,57E+08;257,072096
870;2,64E+08;263,748992
880;2,70E+08;270,182496
890;2,78E+08;277,697984
900;2,81E+08;281,085888
910;2,88E+08;288,027392
920;2,93E+08;293,191616
930;3,01E+08;301,324512
940;3,06E+08;306,152704
950;3,13E+08;313,496288
960;3,20E+08;320,4288
970;3,26E+08;326,264384
980;3,33E+08;333,3968
990;3,41E+08;340,748288
1000;3,47E+08;346,667584
