REsolution;AvEragESimTimE
10;20593,334
20;112830
30;284191,66
40;533466,7
50;839690
60;1219450
70;1709491,8
80;2174621,5
90;2760266,8
100;3410698,5
110;4158575
120;4985380,5
130;5922462
140;6920645
150;8056517
160;9242827
170;1,06E+07
180;1,20E+07
190;1,35E+07
200;1,51E+07
210;1,70E+07
220;1,92E+07
230;2,10E+07
240;2,32E+07
250;2,56E+07
260;2,84E+07
270;3,10E+07
280;3,38E+07
290;3,72E+07
300;4,05E+07
310;4,35E+07
320;4,71E+07
330;5,10E+07
340;5,51E+07
350;6,22E+07
360;6,66E+07
370;7,13E+07
380;7,62E+07
390;8,13E+07
400;8,65E+07
410;9,20E+07
420;9,75E+07
430;1,03E+08
440;1,10E+08
450;1,16E+08
460;1,22E+08
470;1,29E+08
480;1,42E+08
490;1,42E+08
500;1,47E+08
510;1,51E+08
520;1,37E+08
530;1,42E+08
540;1,47E+08
550;1,52E+08
560;1,58E+08
570;1,62E+08
580;1,66E+08
590;1,72E+08
600;1,77E+08
610;1,82E+08
620;1,87E+08
630;1,93E+08
640;1,98E+08
650;2,04E+08
660;2,10E+08
670;2,16E+08
680;2,21E+08
690;2,27E+08
700;2,33E+08
710;2,39E+08
720;2,46E+08
730;2,52E+08
740;2,59E+08
750;2,65E+08
760;2,72E+08
770;2,79E+08
780;2,85E+08
790;2,92E+08
800;2,99E+08
810;3,07E+08
820;3,14E+08
830;3,21E+08
840;3,28E+08
850;3,36E+08
860;3,43E+08
870;3,51E+08
880;3,58E+08
890;3,65E+08
900;3,73E+08
910;3,81E+08
920;3,89E+08
930;3,97E+08
940;4,05E+08
950;4,14E+08
960;4,20E+08
970;4,30E+08
980;4,38E+08
990;4,47E+08
1000;4,51E+08
