Resolution,Average sim time (ms)
10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,1.0
70,1.0
80,2.0
90,2.0
100,3.0
110,4.0
120,5.0
130,5.0
140,6.0
150,8.0
160,9.0
170,10.0
180,11.0
190,13.0
200,15.0
210,16.0
220,18.0
230,20.0
240,23.0
250,25.0
260,28.0
270,30.0
280,33.0
290,36.0
300,39.0
310,43.0
320,47.0
330,50.0
340,55.0
350,62.0
360,66.0
370,71.0
380,76.0
390,81.0
400,86.0
410,92.0
420,98.0
430,103.0
440,111.0
450,116.0
460,122.0
470,128.0
480,135.0
490,140.0
500,145.0
510,149.0
520,137.0
530,141.0
540,146.0
550,151.0
560,156.0
570,160.0
580,165.0
590,170.0
600,175.0
610,181.0
620,189.0
630,196.0
640,202.0
650,208.0
660,213.0
670,219.0
680,225.0
690,232.0
700,238.0
710,244.0
720,250.0
730,256.0
740,262.0
750,271.0
760,277.0
770,285.0
780,291.0
790,299.0
800,305.0
810,313.0
820,321.0
830,328.0
840,335.0
850,343.0
860,359.0
870,360.0
880,365.0
890,375.0
900,383.0
910,390.0
920,397.0
930,405.0
940,414.0
950,421.0
960,432.0
970,440.0
980,447.0
990,454.0
1000,460.0
